"text","playerId","trial"
"hiii",39,"22u5YpwA485h5dMwh1"
"Hello",1152,"22u5YpwA485h5dMwh1"
"hello",782,"22u5YpwA485h5dMwh1"
"Hey",1138,"22u5YpwA485h5dMwh1"
"HEY THERE",964,"22u5YpwA485h5dMwh1"
"hi",536,"22u5YpwA485h5dMwh1"
"How much do you think they ended up getting?",859,"22u5YpwA485h5dMwh1"
"Hello",145,"22u5YpwA485h5dMwh1"
"Hi",992,"22u5YpwA485h5dMwh1"
"hey",362,"22u5YpwA485h5dMwh1"
"Hi",249,"22u5YpwA485h5dMwh1"
"hi",173,"22u5YpwA485h5dMwh1"
"hello",161,"22u5YpwA485h5dMwh1"
"Hello",565,"22u5YpwA485h5dMwh1"
"How are we supposed to guess?",782,"22u5YpwA485h5dMwh1"
"sup",996,"22u5YpwA485h5dMwh1"
"25000",992,"22u5YpwA485h5dMwh1"
"150,000",39,"22u5YpwA485h5dMwh1"
"200000",536,"22u5YpwA485h5dMwh1"
"I put in a pure guess if 150k, idk",349,"22u5YpwA485h5dMwh1"
"I was going to guess an additional 80000 so 180000",1152,"22u5YpwA485h5dMwh1"
"what did you all say",514,"22u5YpwA485h5dMwh1"
"200000",964,"22u5YpwA485h5dMwh1"
"it said they exceeded their goal",1138,"22u5YpwA485h5dMwh1"
"I said 150,000 total.",782,"22u5YpwA485h5dMwh1"
"I went with about180000",145,"22u5YpwA485h5dMwh1"
"250000 total",249,"22u5YpwA485h5dMwh1"
"350000",1286,"22u5YpwA485h5dMwh1"
"150000",996,"22u5YpwA485h5dMwh1"
"I said 300k",1138,"22u5YpwA485h5dMwh1"
"lol that's 3 for 150000",39,"22u5YpwA485h5dMwh1"
"I guess 300000",161,"22u5YpwA485h5dMwh1"
"250000",565,"22u5YpwA485h5dMwh1"
"I was going to guess 120000",362,"22u5YpwA485h5dMwh1"
"200000",964,"22u5YpwA485h5dMwh1"
"I said 150000",859,"22u5YpwA485h5dMwh1"
"NO CLUE JUST A GUESS",964,"22u5YpwA485h5dMwh1"
"There really isn't any indication other than that they exceeded their goral.",782,"22u5YpwA485h5dMwh1"
"*goal",782,"22u5YpwA485h5dMwh1"
"something like this seems pretty popular",1138,"22u5YpwA485h5dMwh1"
"So hard to just come up with a number, loll",349,"22u5YpwA485h5dMwh1"
"125000 seems more apt",992,"22u5YpwA485h5dMwh1"
"I made a very low guess because I read the question wrong.  I don't have a clue as to how much they could have raised.",173,"22u5YpwA485h5dMwh1"
"so they probably exceeded by quite a bit",1138,"22u5YpwA485h5dMwh1"
"It could have been by 5 pounds or 500,000 pounds.",782,"22u5YpwA485h5dMwh1"
"I think they want to know if we'll answer differently after we discuss it.",1152,"22u5YpwA485h5dMwh1"
"200000",536,"22u5YpwA485h5dMwh1"
